Company,Position,Connected On
Motional,Machine Learning Research Engineer 2,14-May-17
Admissions Abroad,Managing Director,14-May-17
Vodafone,Senior Executive,14-May-17
Avanade,Développeur,11-May-17
"Vellore Institute of Technology, Chennai",Senior Assistant Professor,11-May-17
Société Générale,Big Data Engineer,09-May-17
,,08-May-17
Stefanini NA,Senior Presales Consultant,08-May-17
NTU,Prof,28-Apr-17
Intel Corporation,System-on-Chip Design Engineer,27-Apr-17
Tata Projects,Country Head,27-Apr-17
上海隽迎信息科技有限公司,Group Development Manager,19-Apr-17
,,18-Apr-17
Nissan Motor Corporation,Aftersales Marketing Project Manager (Altran),16-Apr-17
tribe,Brand Ambassador,16-Apr-17
Videocon d2h,Intern,15-Apr-17
,,10-Apr-17
Tech Mahindra,Information Security Analyst,10-Apr-17
Swiggy,System Engineering Intern,10-Apr-17
ProsperMe,Partner,10-Apr-17
Wipro Limited,Senior Software Engineer,05-Apr-17
Accenture,RFP Senior Consultant | Chanel | Retail & HR,03-Apr-17
GDI Simulation,Assistant chef de programme,03-Apr-17
Vellore Institute of Technology,Undergraduate Student,31-Mar-17
HealthifyMe,Frontend Developer,31-Mar-17
Barclays,Software Engineer,27-Mar-17
SelectDine,Founder and CEO,27-Mar-17
"Blue Cross and Blue Shield of Illinois, Montana, New Mexico, Oklahoma & Texas",Sr Systems Analyst,27-Mar-17
Jam,CEO et Cofondatrice,25-Mar-17
King's College London,Visiting Professor,23-Mar-17
Khatabook,Operations Manager- BizOps,15-Mar-17
Futures First,Market Analyst,15-Mar-17
Space Generation Advisory Council,Member,14-Mar-17
iOPEX technologies,Digital Marketing Specialist,14-Mar-17
Carrefour,Problem Manager,14-Mar-17
Flipkart,Software Development Engineer I,14-Mar-17
"NIVI Solutions, LLC.",Software Engineer,14-Mar-17
Wipro Limited,Project Engineer,13-Mar-17
Tata Steel,Vocational training,13-Mar-17
Uttamenergy Ltd.,Senior Engineer,13-Mar-17
The AI buddy,Cheif Artificial Intelligence Engineer,13-Mar-17
Earthing Solutions,Director,10-Mar-17
Taiyō,Lead ML scientist,10-Mar-17
Ecole Polytechnique,Head of microscopy center (CimeX) at Ecole Polytechnique,09-Mar-17
,,09-Mar-17
Foundation for Democratic Reforms,Research Associate,09-Mar-17
Orange Consulting,Consultant senior,08-Mar-17
Jindal Steel & Power Ltd.,Assistant Manager,06-Mar-17
Amwin Pharmaceuticals,Asistant Sales Manager ,01-Mar-17
STMicroelectronics,Analog Design Intern,01-Mar-17
Standard Chartered Global Business Services,"Analyst, Retail Banking",01-Mar-17
,,28-Feb-17
Scicom Infrastructure Services,Data Scientist (Statistics & NLP ),28-Feb-17
Schneider Electric,Product Application Engineer,25-Feb-17
Jeyam Builders - India,Internship,22-Feb-17
WSP USA,Asst. Traffic Engineer,21-Feb-17
DISYS,Technical Recruiter,21-Feb-17
Thedipaar,Graphic Designer & Video Editor,21-Feb-17
SAP,Software Engineer,19-Feb-17
Melange Systems Pvt Ltd,RF Engineer(R&D),18-Feb-17
Harbour Side Decorators,Event Staff,18-Feb-17
Amazon Robotics,Advanced Robotics R&D Engineer Intern (Robotics Perception),18-Feb-17
,,17-Feb-17
apgenco thermal power plant,Intern,16-Feb-17
KTH Royal Institute of Technology,Associate Professor,15-Feb-17
Vellore Institute of Technology,Undergraduate Teaching Assistant,14-Feb-17
Paris-Sud University (Paris XI),Associate Professor,14-Feb-17
